Date,KLCI
2015-01-02,1752.77001953125
2015-01-05,1736.6199951171875
2015-01-06,1716.5799560546875
2015-01-07,1709.1800537109375
2015-01-08,1728.06005859375
2015-01-09,1732.43994140625
2015-01-12,1735.0799560546875
2015-01-13,1748.9000244140625
2015-01-14,1742.010009765625
2015-01-15,1745.0
2015-01-16,1743.5699462890625
2015-01-19,1753.31005859375
2015-01-20,1750.1099853515625
2015-01-21,1770.0899658203125
2015-01-22,1781.75
2015-01-23,1803.0799560546875
2015-01-26,1796.43994140625
2015-01-27,1803.1700439453125
2015-01-28,1795.8800048828125
2015-01-29,1782.1800537109375
2015-01-30,1781.260009765625
2015-02-04,1803.02001953125
2015-02-05,1803.0899658203125
2015-02-06,1809.43994140625
2015-02-09,1811.5799560546875
2015-02-10,1811.1199951171875
2015-02-11,1798.949951171875
2015-02-12,1789.0699462890625
2015-02-13,1800.949951171875
2015-02-16,1808.8900146484375
2015-02-17,1810.0899658203125
2015-02-18,1807.8699951171875
2015-02-23,1809.3900146484375
2015-02-24,1818.6800537109375
2015-02-25,1815.8599853515625
2015-02-26,1820.8699951171875
2015-02-27,1821.2099609375
2015-03-02,1817.1300048828125
2015-03-03,1821.25
2015-03-04,1825.5400390625
2015-03-05,1806.0899658203125
2015-03-06,1806.9599609375
2015-03-09,1791.739990234375
2015-03-10,1789.72998046875
2015-03-11,1778.1600341796875
2015-03-12,1786.8699951171875
2015-03-13,1781.75
2015-03-16,1780.5400390625
2015-03-17,1787.8699951171875
2015-03-18,1797.5699462890625
2015-03-19,1809.1300048828125
2015-03-20,1803.6500244140625
2015-03-23,1795.8499755859375
2015-03-24,1814.0400390625
2015-03-25,1819.0999755859375
2015-03-26,1818.4200439453125
2015-03-27,1813.3699951171875
2015-03-30,1821.8299560546875
2015-03-31,1830.780029296875
2015-04-01,1826.31005859375
2015-04-02,1831.969970703125
2015-04-03,1834.52001953125
2015-04-06,1842.93994140625
2015-04-07,1856.510009765625
2015-04-08,1850.31005859375
2015-04-09,1849.3900146484375
2015-04-10,1844.31005859375
2015-04-13,1842.0799560546875
2015-04-14,1839.6099853515625
2015-04-15,1840.1300048828125
2015-04-16,1847.93994140625
2015-04-17,1845.8599853515625
2015-04-20,1848.6600341796875
