Date,USDMYR
2015-01-01,3.497999906539917
2015-01-02,3.5250000953674316
2015-01-05,3.551500082015991
2015-01-06,3.570499897003174
2015-01-07,3.5739998817443848
2015-01-08,3.5515999794006348
2015-01-09,3.546799898147583
2015-01-12,3.5752999782562256
2015-01-13,3.5738000869750977
2015-01-14,3.572999954223633
2015-01-15,3.563999891281128
2015-01-16,3.553999900817871
2015-01-19,3.5632998943328857
2015-01-20,3.606300115585327
2015-01-21,3.615000009536743
2015-01-22,3.5954999923706055
2015-01-23,3.5871999263763428
2015-01-26,3.6010000705718994
2015-01-27,3.6010000705718994
2015-01-28,3.6024999618530273
2015-01-29,3.629499912261963
2015-01-30,3.631700038909912
2015-02-02,3.617799997329712
2015-02-03,3.566499948501587
2015-02-04,3.5905001163482666
2015-02-05,3.53439998626709
2015-02-06,3.553499937057495
2015-02-09,3.553999900817871
2015-02-10,3.5710999965667725
2015-02-11,3.6157000064849854
2015-02-12,3.5894999504089355
2015-02-13,3.5789999961853027
2015-02-16,3.582200050354004
2015-02-17,3.5815999507904053
2015-02-18,3.6177000999450684
2015-02-19,3.6359000205993652
2015-02-20,3.644700050354004
2015-02-23,3.63700008392334
2015-02-24,3.6201999187469482
2015-02-25,3.6059999465942383
2015-02-26,3.6045000553131104
2015-02-27,3.6080000400543213
2015-03-02,3.6322999000549316
2015-03-03,3.6284000873565674
2015-03-04,3.6589999198913574
2015-03-05,3.6603000164031982
2015-03-06,3.6823999881744385
2015-03-09,3.6826999187469482
2015-03-10,3.7195000648498535
2015-03-11,3.697000026702881
2015-03-12,3.6879000663757324
2015-03-13,3.7019999027252197
2015-03-16,3.692199945449829
2015-03-17,3.6986000537872314
2015-03-18,3.6475000381469727
2015-03-19,3.7035000324249268
2015-03-20,3.7049999237060547
2015-03-23,3.6514999866485596
2015-03-24,3.65339994430542
2015-03-25,3.67549991607666
2015-03-26,3.6679999828338623
2015-03-27,3.681999921798706
2015-03-30,3.7102999687194824
2015-03-31,3.7054998874664307
2015-04-01,3.6710000038146973
2015-04-02,3.652100086212158
2015-04-03,3.6584999561309814
2015-04-06,3.626499891281128
2015-04-07,3.640500068664551
2015-04-08,3.626300096511841
2015-04-09,3.63700008392334
2015-04-10,3.6705000400543213
2015-04-13,3.7074999809265137
2015-04-14,3.697999954223633
2015-04-15,3.6705000400543213
2015-04-16,3.6278998851776123
2015-04-17,3.6331000328063965
2015-04-20,3.628000020980835
2015-04-21,3.626300096511841
2015-04-22,3.6120998859405518
2015-04-23,3.6005001068115234
2015-04-24,3.5678000450134277
2015-04-27,3.542799949645996
2015-04-28,3.5271999835968018
2015-04-29,3.53439998626709
2015-04-30,3.5687999725341797
2015-05-01,3.5908000469207764
2015-05-04,3.5943000316619873
2015-05-05,3.5840001106262207
2015-05-06,3.5636000633239746
2015-05-07,3.5998001098632812
2015-05-08,3.581899881362915
2015-05-11,3.6085000038146973
2015-05-12,3.600600004196167
2015-05-13,3.5845999717712402
2015-05-14,3.55679988861084
2015-05-15,3.5559000968933105
2015-05-18,3.5804998874664307
2015-05-19,3.612499952316284
2015-05-20,3.589099884033203
2015-05-21,3.589600086212158
2015-05-22,3.5994999408721924
2015-05-25,3.596299886703491
2015-05-26,3.637200117111206
2015-05-27,3.6429998874664307
2015-05-28,3.6489999294281006
2015-05-29,3.6484999656677246
2015-06-01,3.6874001026153564
2015-06-02,3.674099922180176
2015-06-03,3.677999973297119
2015-06-04,3.7112998962402344
2015-06-05,3.7513999938964844
2015-06-08,3.7321999073028564
2015-06-09,3.741499900817871
2015-06-10,3.7142999172210693
2015-06-11,3.731100082397461
2015-06-12,3.7421000003814697
2015-06-15,3.758500099182129
2015-06-16,3.741300106048584
2015-06-17,3.7256999015808105
2015-06-18,3.691999912261963
2015-06-19,3.73799991607666
2015-06-22,3.7149999141693115
2015-06-23,3.7434000968933105
2015-06-24,3.75
2015-06-25,3.7523000240325928
2015-06-26,3.7674999237060547
2015-06-29,3.7695000171661377
2015-06-30,3.751499891281128
2015-07-01,3.765000104904175
2015-07-02,3.756999969482422
2015-07-03,3.7725000381469727
2015-07-06,3.819499969482422
2015-07-07,3.8197999000549316
2015-07-08,3.7950000762939453
2015-07-09,3.780400037765503
2015-07-10,3.7920000553131104
2015-07-13,3.803499937057495
2015-07-14,3.7899999618530273
2015-07-15,3.791599988937378
2015-07-16,3.7939999103546143
2015-07-17,3.804500102996826
2015-07-20,3.8141000270843506
2015-07-21,3.7799999713897705
2015-07-22,3.8078999519348145
2015-07-23,3.809499979019165
2015-07-24,3.815000057220459
2015-07-27,3.815999984741211
2015-07-28,3.801300048828125
2015-07-29,3.801500082015991
2015-07-30,3.815999984741211
2015-07-31,3.822999954223633
2015-08-03,3.852299928665161
2015-08-04,3.868499994277954
2015-08-05,3.875
2015-08-06,3.9040000438690186
2015-08-07,3.9205000400543213
2015-08-10,3.9130001068115234
2015-08-11,3.9790000915527344
2015-08-12,3.9739999771118164
2015-08-13,4.025000095367432
2015-08-14,4.053999900817871
2015-08-17,4.090000152587891
2015-08-18,4.083000183105469
2015-08-19,4.091000080108643
2015-08-20,4.097499847412109
2015-08-21,4.1504998207092285
2015-08-24,4.2210001945495605
2015-08-25,4.2164998054504395
2015-08-26,4.190400123596191
2015-08-27,4.168000221252441
2015-08-28,4.1570000648498535
2015-08-31,4.165999889373779
2015-09-01,4.184999942779541
2015-09-02,4.204999923706055
2015-09-03,4.2245001792907715
2015-09-04,4.2870001792907715
2015-09-07,4.335999965667725
2015-09-08,4.291500091552734
2015-09-09,4.332499980926514
2015-09-10,4.293000221252441
2015-09-11,4.2870001792907715
2015-09-14,4.309500217437744
2015-09-15,4.261499881744385
2015-09-16,4.21150016784668
2015-09-17,4.2170000076293945
2015-09-18,4.209000110626221
2015-09-21,4.258500099182129
2015-09-22,4.309999942779541
2015-09-23,4.380000114440918
2015-09-24,4.392000198364258
2015-09-25,4.3927998542785645
2015-09-28,4.412300109863281
2015-09-29,4.455999851226807
2015-09-30,4.385499954223633
2015-10-01,4.417500019073486
2015-10-02,4.382500171661377
2015-10-05,4.338500022888184
2015-10-06,4.298999786376953
2015-10-07,4.215000152587891
2015-10-08,4.113500118255615
2015-10-09,4.127500057220459
2015-10-12,4.139500141143799
2015-10-13,4.201499938964844
2015-10-14,4.138000011444092
2015-10-15,4.102499961853027
2015-10-16,4.171000003814697
2015-10-19,4.2829999923706055
2015-10-20,4.2769999504089355
2015-10-21,4.297500133514404
2015-10-22,4.2204999923706055
2015-10-23,4.248499870300293
2015-10-26,4.238500118255615
2015-10-27,4.28000020980835
2015-10-28,4.268499851226807
2015-10-29,4.2204999923706055
2015-10-30,4.2210001945495605
2015-11-02,4.290999889373779
2015-11-03,4.232999801635742
2015-11-04,4.298999786376953
2015-11-05,4.292500019073486
2015-11-06,4.35699987411499
2015-11-09,4.382999897003174
2015-11-10,4.243500232696533
2015-11-11,4.337500095367432
2015-11-12,4.379499912261963
2015-11-13,4.381499767303467
2015-11-16,4.36299991607666
2015-11-17,4.375699996948242
2015-11-18,4.323999881744385
2015-11-19,4.277500152587891
2015-11-20,4.258500099182129
2015-11-23,4.262499809265137
2015-11-24,4.204999923706055
2015-11-25,4.198500156402588
2015-11-26,4.2129998207092285
2015-11-27,4.263000011444092
2015-11-30,4.248000144958496
2015-12-01,4.2179999351501465
2015-12-02,4.244999885559082
2015-12-03,4.206500053405762
2015-12-04,4.182000160217285
2015-12-07,4.269999980926514
2015-12-08,4.263299942016602
2015-12-09,4.251399993896484
2015-12-10,4.261000156402588
2015-12-11,4.319499969482422
2015-12-14,4.3420000076293945
2015-12-15,4.295000076293945
2015-12-16,4.265500068664551
2015-12-17,4.307000160217285
2015-12-18,4.273499965667725
2015-12-21,4.291999816894531
2015-12-22,4.294000148773193
2015-12-23,4.290999889373779
2015-12-24,4.289999961853027
2015-12-25,4.290999889373779
2015-12-28,4.2932000160217285
2015-12-29,4.281000137329102
2015-12-30,4.305200099945068
2015-12-31,4.294000148773193
2016-01-01,4.305200099945068
2016-01-04,4.350500106811523
2016-01-05,4.355500221252441
2016-01-06,4.414999961853027
