date,8869.KL,7113.KL
2015-01-02,0.38353490829467773,0.2887122333049774
2015-01-05,0.3805850148200989,0.2887122333049774
2015-01-06,0.36140838265419006,0.2887122333049774
2015-01-07,0.35845762491226196,0.287456750869751
2015-01-08,0.36288297176361084,0.287456750869751
2015-01-09,0.35255706310272217,0.28996777534484863
2015-01-12,0.36140838265419006,0.2938084304332733
2015-01-13,0.38648557662963867,0.30597013235092163
2015-01-14,0.3687836229801178,0.3066100776195526
2015-01-15,0.38353490829467773,0.30725064873695374
2015-01-16,0.38353490829467773,0.30597013235092163
2015-01-19,0.3938608169555664,0.30597013235092163
2015-01-20,0.3923862874507904,0.3066100776195526
2015-01-21,0.39828601479530334,0.31237101554870605
2015-01-22,0.40713754296302795,0.32005229592323303
2015-01-23,0.41156280040740967,0.3168522119522095
2015-01-26,0.3938608169555664,0.31749212741851807
2015-01-27,0.3968115746974945,0.3181318938732147
2015-01-28,0.3968115746974945,0.3168522119522095
2015-01-29,0.3923862874507904,0.3187725245952606
2015-01-30,0.39828601479530334,0.3187725245952606
2015-02-04,0.3938608169555664,0.3130115866661072
2015-02-05,0.40123674273490906,0.3098108172416687
2015-02-06,0.41156280040740967,0.3066100776195526
2015-02-09,0.40861207246780396,0.31237101554870605
2015-02-10,0.4277893602848053,0.3162115514278412
2015-02-11,0.4425406754016876,0.31749212741851807
2015-02-12,0.432214617729187,0.3187725245952606
2015-02-13,0.4454905092716217,0.32069283723831177
2015-02-16,0.44991573691368103,0.3181318938732147
2015-02-17,0.4381153881549835,0.3181318938732147
2015-02-18,0.44106534123420715,0.32005229592323303
2015-02-23,0.432214617729187,0.32069283723831177
2015-02-24,0.44106534123420715,0.32005229592323303
2015-02-25,0.4425406754016876,0.3213326632976532
2015-02-26,0.44401612877845764,0.3232530355453491
2015-02-27,0.44848600029945374,0.3238929212093353
2015-03-02,0.44252580404281616,0.3226132094860077
2015-03-03,0.4469956159591675,0.32069283723831177
2015-03-04,0.4693458080291748,0.3181318938732147
2015-03-05,0.46487513184547424,0.3194124102592468
2015-03-06,0.4738156497478485,0.3187725245952606
2015-03-09,0.4753050208091736,0.3187725245952606
2015-03-10,0.4961646795272827,0.32517337799072266
2015-03-11,0.49467524886131287,0.32005229592323303
2015-03-12,0.5125546455383301,0.3283741772174835
2015-03-13,0.5125546455383301,0.32517337799072266
2015-03-16,0.5125546455383301,0.329653799533844
2015-03-17,0.5051053166389465,0.3283741772174835
2015-03-18,0.47977545857429504,0.332854688167572
2015-03-19,0.48573511838912964,0.3322147727012634
2015-03-20,0.484245240688324,0.3373350501060486
2015-03-23,0.4872249662876129,0.34501639008522034
2015-03-24,0.5065946578979492,0.34821709990501404
2015-03-25,0.4991452693939209,0.35717886686325073
2015-03-26,0.4916948676109314,0.35781875252723694
2015-03-27,0.4961646795272827,0.3514179587364197
2015-03-30,0.49765485525131226,0.3507773280143738
2015-03-31,0.49318504333496094,0.3501374423503876
2015-04-01,0.4991452693939209,0.3507773280143738
2015-04-02,0.49467524886131287,0.348857045173645
2015-04-03,0.49467524886131287,0.348857045173645
2015-04-06,0.49318504333496094,0.34693673253059387
2015-04-07,0.49765485525131226,0.34565699100494385
2015-04-08,0.4991452693939209,0.3494977056980133
2015-04-09,0.5125546455383301,0.3494977056980133
2015-04-10,0.5021246671676636,0.3507773280143738
2015-04-13,0.5006353259086609,0.3507773280143738
2015-04-14,0.503615140914917,0.348857045173645
2015-04-15,0.5051053166389465,0.3507773280143738
2015-04-16,0.5110651850700378,0.3501374423503876
2015-04-17,0.5110651850700378,0.348857045173645
2015-04-20,0.508084774017334,0.3520577847957611
2015-04-21,0.5051053166389465,0.348857045173645
2015-04-22,0.4991452693939209,0.3475772738456726
2015-04-23,0.48275527358055115,0.348857045173645
2015-04-24,0.43209585547447205,0.3475772738456726
2015-04-27,0.4261358678340912,0.3520577847957611
2015-04-28,0.42017579078674316,0.3520577847957611
2015-04-29,0.42017579078674316,0.3494977056980133
2015-04-30,0.4216661751270294,0.35845860838890076
2015-05-05,0.4291154146194458,0.35845860838890076
2015-05-06,0.42464548349380493,0.3565382659435272
2015-05-07,0.43656566739082336,0.3565382659435272
2015-05-08,0.4544449746608734,0.3565382659435272
2015-05-11,0.4469956159591675,0.35717886686325073
2015-05-12,0.4469956159591675,0.3565382659435272
2015-05-13,0.44401514530181885,0.3565382659435272
2015-05-14,0.44401514530181885,0.35525861382484436
2015-05-15,0.44401514530181885,0.35717886686325073
2015-05-18,0.44401514530181885,0.3565382659435272
2015-05-19,0.4319745600223541,0.34629684686660767
2015-05-20,0.421438604593277,0.348857045173645
2015-05-21,0.4048821032047272,0.35781875252723694
2015-05-22,0.40939733386039734,0.3565382659435272
2015-05-25,0.398861289024353,0.3520577847957611
2015-05-26,0.40187129378318787,0.355898380279541
2015-05-27,0.3973560035228729,0.34501639008522034
2015-05-28,0.3958505690097809,0.34629684686660767
2015-05-29,0.39284077286720276,0.34693673253059387
2015-06-01,0.398861289024353,0.348857045173645
2015-06-02,0.4124073088169098,0.33925536274909973
2015-06-03,0.4048821032047272,0.33925536274909973
2015-06-04,0.40939733386039734,0.35269755125045776
2015-06-05,0.4048821032047272,0.3501374423503876
2015-06-08,0.4063865542411804,0.3520577847957611
2015-06-09,0.40187129378318787,0.3507773280143738
2015-06-10,0.4124073088169098,0.36742037534713745
2015-06-11,0.4048821032047272,0.36678043007850647
2015-06-12,0.4048821032047272,0.36998048424720764
2015-06-15,0.4033767282962799,0.37446171045303345
2015-06-16,0.3973560035228729,0.37382107973098755
2015-06-17,0.3958505690097809,0.3757414221763611
2015-06-18,0.3958505690097809,0.40710705518722534
2015-06-19,0.3958505690097809,0.4224696457386017
2015-06-22,0.40036681294441223,0.42182907462120056
2015-06-23,0.3958505690097809,0.419908732175827
2015-06-24,0.3958505690097809,0.41606810688972473
2015-06-25,0.398861289024353,0.43527111411094666
2015-06-26,0.3973560035228729,0.42887046933174133
2015-06-29,0.39284077286720276,0.4269501566886902
2015-06-30,0.3913353979587555,0.4308374524116516
2015-07-01,0.39284077286720276,0.4327811300754547
2015-07-02,0.3958505690097809,0.43213343620300293
2015-07-03,0.3973560035228729,0.4334293603897095
2015-07-06,0.39284077286720276,0.4334293603897095
2015-07-07,0.3807995021343231,0.4502737522125244
2015-07-08,0.36725348234176636,0.4599917531013489
2015-07-09,0.3717688322067261,0.47748440504074097
2015-07-10,0.3807995021343231,0.46064022183418274
2015-07-13,0.374778687953949,0.46647119522094727
2015-07-14,0.3777894675731659,0.47748440504074097
2015-07-15,0.3777894675731659,0.4859074652194977
2015-07-16,0.37929481267929077,0.48914632201194763
2015-07-20,0.374778687953949,0.5001603960990906
2015-07-21,0.3807995021343231,0.5046953558921814
2015-07-22,0.3777894675731659,0.4969208240509033
2015-07-23,0.3807995021343231,0.48785102367401123
2015-07-24,0.37929481267929077,0.4962731897830963
2015-07-27,0.3777894675731659,0.5118222236633301
2015-07-28,0.36725348234176636,0.48914632201194763
2015-07-29,0.368758887052536,0.4949772357940674
2015-07-30,0.3702634871006012,0.5105261206626892
2015-07-31,0.3702634871006012,0.49368196725845337
2015-08-03,0.3717688322067261,0.4988645017147064
2015-08-04,0.36725348234176636,0.5118222236633301
2015-08-05,0.3657480478286743,0.5234839916229248
2015-08-06,0.3627382516860962,0.5118222236633301
2015-08-07,0.3476870059967041,0.50080806016922
2015-08-10,0.33113038539886475,0.48655498027801514
2015-08-11,0.3115628659725189,0.48266780376434326
2015-08-12,0.2784504294395447,0.46647119522094727
2015-08-13,0.28447121381759644,0.4988645017147064
2015-08-14,0.27543967962265015,0.4839637875556946
2015-08-17,0.26339924335479736,0.48785102367401123
2015-08-18,0.26339924335479736,0.5059912800788879
2015-08-19,0.2588830888271332,0.5163570642471313
2015-08-20,0.2498525232076645,0.5241315960884094
2015-08-21,0.24232718348503113,0.5435678362846375
2015-08-24,0.22275985777378082,0.5506947636604309
2015-08-25,0.22656181454658508,0.5118222236633301
2015-08-26,0.22808267176151276,0.5137658715248108
2015-08-27,0.24784964323043823,0.5034000277519226
2015-08-28,0.261534184217453,0.5001603960990906
2015-09-01,0.261534184217453,0.5072873830795288
2015-09-02,0.2630549669265747,0.5098786354064941
2015-09-03,0.2767404615879059,0.5202443599700928
2015-09-04,0.2949865460395813,0.5027515888214111
2015-09-07,0.29042503237724304,0.5027515888214111
2015-09-08,0.2797812819480896,0.5137658715248108
2015-09-09,0.2949865460395813,0.5183007717132568
2015-09-10,0.2843426465988159,0.5332021117210388
2015-09-11,0.29194581508636475,0.533849835395813
2015-09-14,0.29042503237724304,0.5170055031776428
2015-09-15,0.293465793132782,0.5053437352180481
2015-09-17,0.30715125799179077,0.5072873830795288
2015-09-18,0.3497266173362732,0.4988645017147064
2015-09-21,0.3406035304069519,0.48266780376434326
2015-09-22,0.3345213532447815,0.4982168674468994
2015-09-23,0.317795068025589,0.5170055031776428
2015-09-25,0.3147535026073456,0.5247800350189209
2015-09-28,0.31627437472343445,0.5176530480384827
2015-09-29,0.3086720108985901,0.5176530480384827
2015-09-30,0.31323352456092834,0.5228365063667297
2015-10-01,0.3193158805370331,0.5163570642471313
2015-10-02,0.317795068025589,0.5150619149208069
2015-10-05,0.3284389078617096,0.5150619149208069
2015-10-06,0.3238773047924042,0.5254276394844055
2015-10-07,0.3299597501754761,0.5299625992774963
2015-10-08,0.317795068025589,0.5170055031776428
2015-10-09,0.3269181549549103,0.5176530480384827
2015-10-12,0.3299597501754761,0.5370892286300659
2015-10-13,0.3253973722457886,0.5215403437614441
2015-10-15,0.3314797580242157,0.546807587146759
2015-10-16,0.3345213532447815,0.5636526942253113
2015-10-19,0.3269181549549103,0.5707786679267883
2015-10-20,0.3269181549549103,0.5895674228668213
2015-10-21,0.3299597501754761,0.6187217831611633
2015-10-22,0.3238773047924042,0.6005814671516418
2015-10-23,0.34516510367393494,0.5992856025695801
2015-10-26,0.34668511152267456,0.6012292504310608
2015-10-27,0.354288250207901,0.6018768548965454
2015-10-28,0.3527674973011017,0.6102997660636902
2015-10-29,0.35732898116111755,0.6122432351112366
2015-10-30,0.354288250207901,0.6148346066474915
2015-11-02,0.35124751925468445,0.6148346066474915
2015-11-03,0.34668511152267456,0.6154821515083313
2015-11-04,0.35124751925468445,0.6154821515083313
2015-11-05,0.35580891370773315,0.6154821515083313
2015-11-06,0.35732898116111755,0.6090037822723389
2015-11-09,0.35732898116111755,0.6297359466552734
2015-11-11,0.3497266173362732,0.6478763818740845
2015-11-12,0.3436443507671356,0.649172306060791
2015-11-13,0.3482058346271515,0.6446366906166077
2015-11-16,0.3436443507671356,0.6349185109138489
2015-11-17,0.3497266173362732,0.6569468379020691
2015-11-18,0.3482058346271515,0.6452849507331848
2015-11-19,0.3406035304069519,0.6401017308235168
2015-11-20,0.3269181549549103,0.6465803384780884
2015-11-23,0.3117126524448395,0.6388057470321655
2015-11-24,0.317795068025589,0.6252003908157349
2015-11-25,0.3147535026073456,0.6018768548965454
