,date,division,inflation_yoy,inflation_mom
164,2023-04-01,01,7.2,0.1
165,2023-05-01,01,7.1,0.5
166,2023-06-01,01,6.0,0.1
167,2023-07-01,01,5.4,0.6
168,2023-08-01,01,5.1,0.3
169,2023-09-01,01,5.1,0.3
170,2023-10-01,01,4.8,0.3
171,2023-11-01,01,3.7,-0.3
172,2023-12-01,01,3.2,0.0
173,2024-01-01,01,2.9,0.3
174,2024-02-01,01,3.1,0.5
175,2024-03-01,01,3.0,0.2
176,2024-04-01,01,3.2,0.4
177,2024-05-01,01,2.9,0.2
178,2024-06-01,01,2.8,0.0
179,2024-07-01,01,2.7,0.5
180,2024-08-01,01,2.7,0.3
181,2024-09-01,01,2.3,0.0
182,2024-10-01,01,3.2,1.2
183,2024-11-01,01,3.7,0.1
184,2024-12-01,01,3.9,0.2
185,2025-01-01,01,4.0,0.4
186,2025-02-01,01,3.8,0.2
187,2025-03-01,01,3.7,0.1
188,2025-04-01,01,3.6,0.3
189,2025-05-01,01,3.6,0.2
190,2025-06-01,01,3.8,0.2
191,2025-07-01,01,3.5,0.3
192,2025-08-01,01,3.4,0.2
193,2025-09-01,01,3.6,0.1
194,2025-10-01,01,2.5,0.2
195,2025-11-01,01,2.4,0.0
196,2025-12-01,01,2.2,0.0
197,2026-01-01,01,2.0,0.2
198,2026-02-01,01,1.9,0.1
199,2026-03-01,01,1.8,0.1
200,2026-04-01,01,2.0,0.4
201,2026-05-01,01,1.9,0.1
202,2026-06-01,01,1.9,0.2
203,2026-07-01,01,1.9,0.2
204,2018-02-01,02,,
205,2018-03-01,02,,
206,2018-04-01,02,,
207,2018-05-01,02,,
208,2018-06-01,02,,
209,2018-07-01,02,,
210,2018-08-01,02,,
211,2018-09-01,02,,
212,2018-10-01,02,,
213,2018-11-01,02,,
214,2018-12-01,02,,
215,2019-01-01,02,,
216,2019-02-01,02,,
217,2019-03-01,02,,
218,2019-04-01,02,,
219,2019-05-01,02,,
220,2019-06-01,02,,
221,2019-07-01,02,,
222,2019-08-01,02,,
223,2019-09-01,02,,
224,2019-10-01,02,,
225,2019-11-01,02,,
226,2019-12-01,02,,
227,2020-01-01,02,,
228,2020-02-01,02,,
229,2020-03-01,02,,
230,2020-04-01,02,,
231,2020-05-01,02,,
232,2020-06-01,02,,
233,2020-07-01,02,,
234,2020-08-01,02,,
235,2020-09-01,02,,
236,2020-10-01,02,,
237,2020-11-01,02,,
238,2020-12-01,02,,
239,2021-01-01,02,,
240,2021-02-01,02,,
241,2021-03-01,02,,
242,2021-04-01,02,,
243,2021-05-01,02,,
244,2021-06-01,02,,
245,2021-07-01,02,,
246,2021-08-01,02,,
247,2021-09-01,02,,
248,2021-10-01,02,,
249,2021-11-01,02,,
250,2021-12-01,02,,
251,2022-01-01,02,,
