date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2015-03-06,3.9,0.0,182.08,7,2024
2015-03-09,3.95,0.05,36.25,7,2024
2015-03-10,3.95,0.0,3.1,7,2024
2015-03-11,3.98,0.03,217.4,7,2024
2015-03-12,3.96,-0.02,83.05,7,2024
2015-03-13,3.96,3.96,909.9,9,2025
2015-03-16,3.92,-0.04,160.0,9,2025
2015-03-17,3.91,-0.01,420.0,9,2025
2015-03-18,3.93,0.02,370.0,9,2025
2015-03-19,3.9,-0.03,474.97,9,2025
2015-03-20,3.9,0.0,200.91,9,2025
2015-03-24,3.88,-0.02,640.0,9,2025
2015-03-25,3.89,0.01,410.0,9,2025
2015-03-26,3.89,0.0,211.0,9,2025
2015-03-27,3.89,0.0,205.1,9,2025
2015-03-30,3.9,0.01,90.4,9,2025
2015-04-01,3.86,-0.01,614.39,9,2025
2015-04-02,3.86,0.0,450.08,9,2025
2015-04-03,3.86,0.0,30.0,9,2025
2015-04-06,3.84,-0.02,380.0,9,2025
2015-04-07,3.89,0.05,82.07,9,2025
2015-04-08,3.85,-0.04,537.85,9,2025
2015-04-09,3.86,0.01,211.5,9,2025
2015-04-10,3.87,0.01,278.3,9,2025
2015-04-13,3.87,0.0,2.5,9,2025
2015-04-14,3.89,0.02,20.0,9,2025
