date,8869.KL,7113.KL
2015-01-02,0.3823195695877075,0.2887122631072998
2015-01-05,0.3793790340423584,0.2887122631072998
2015-01-06,0.3602631688117981,0.2887122631072998
2015-01-07,0.35732197761535645,0.28745678067207336
2015-01-08,0.3617331385612488,0.28745678067207336
2015-01-09,0.351439893245697,0.28996777534484863
2015-01-12,0.3602631688117981,0.29380837082862854
2015-01-13,0.38526105880737305,0.3059702217578888
2015-01-14,0.3676150143146515,0.30660998821258545
2015-01-15,0.3823195695877075,0.3072506785392761
2015-01-16,0.3823195695877075,0.3059702217578888
2015-01-19,0.3926127851009369,0.3059702217578888
2015-01-20,0.39114299416542053,0.30660998821258545
2015-01-21,0.3970240652561188,0.31237104535102844
2015-01-22,0.4058474898338318,0.32005226612091064
2015-01-23,0.41025879979133606,0.31685230135917664
2015-01-26,0.3926127851009369,0.3174920380115509
2015-01-27,0.3955543339252472,0.3181319534778595
2015-01-28,0.3955543339252472,0.31685230135917664
2015-01-29,0.39114299416542053,0.318772554397583
2015-01-30,0.3970240652561188,0.318772554397583
2015-02-04,0.3926127851009369,0.31301161646842957
2015-02-05,0.3999654948711395,0.3098108172416687
2015-02-06,0.41025879979133606,0.30660998821258545
2015-02-09,0.4073173701763153,0.31237104535102844
2015-02-10,0.4264339506626129,0.3162115812301636
2015-02-11,0.44113844633102417,0.3174920380115509
2015-02-12,0.43084517121315,0.318772554397583
2015-02-13,0.4440791606903076,0.32069286704063416
2015-02-16,0.448490172624588,0.3181319534778595
2015-02-17,0.43672728538513184,0.3181319534778595
2015-02-18,0.4396677613258362,0.32005226612091064
2015-02-23,0.43084517121315,0.32069286704063416
2015-02-24,0.4396677613258362,0.32005226612091064
2015-02-25,0.44113844633102417,0.3213326632976532
2015-02-26,0.44260916113853455,0.3232530355453491
2015-02-27,0.4470648169517517,0.32389286160469055
2015-03-02,0.44112372398376465,0.3226131200790405
2015-03-03,0.44557932019233704,0.32069286704063416
2015-03-04,0.46785861253738403,0.3181319534778595
2015-03-05,0.46340200304985046,0.3194124400615692
2015-03-06,0.47231411933898926,0.318772554397583
2015-03-09,0.4737989008426666,0.318772554397583
2015-03-10,0.49459269642829895,0.32517334818840027
2015-03-11,0.49310800433158875,0.32005226612091064
