date,1155.KL,1023.KL,1295.KL
2015-01-02,4.29570198059082,3.231692314147949,2.353487014770508
2015-01-05,4.239178657531738,3.179286479949951,2.301818609237671
2015-01-06,4.144974708557129,3.1094117164611816,2.2734014987945557
2015-01-07,4.055481433868408,3.0570058822631836,2.2708187103271484
2015-01-08,4.097871780395508,3.0802972316741943,2.2734014987945557
2015-01-09,4.055481433868408,3.097766876220703,2.2682347297668457
2015-01-12,4.041350364685059,3.016246795654297,2.2630679607391357
2015-01-13,4.0601911544799805,3.447139024734497,2.2553179264068604
2015-01-14,3.951857328414917,3.348149538040161,2.2630679607391357
2015-01-15,4.050771713256836,3.4413154125213623,2.2630679607391357
2015-01-16,4.050771713256836,3.4063782691955566,2.2682347297668457
2015-01-19,4.140264511108398,3.4646072387695312,2.2785677909851074
2015-01-20,4.2014970779418945,3.383087158203125,2.2940685749053955
2015-01-21,4.177945613861084,3.4180243015289307,2.291485548019409
2015-01-22,4.177945613861084,3.289921522140503,2.3044018745422363
2015-01-23,4.239178657531738,3.20257830619812,2.343153953552246
2015-01-26,4.2014970779418945,3.179286479949951,2.332819938659668
2015-01-27,4.2014970779418945,3.2258689403533936,2.3405702114105225
2015-01-28,4.093162536621094,3.2375144958496094,2.343153953552246
2015-01-29,4.0790324211120605,3.20257830619812,2.3354034423828125
2015-01-30,4.107293605804443,3.20257830619812,2.343153953552246
2015-02-04,4.1591057777404785,3.289921522140503,2.3715710639953613
2015-02-05,4.2014970779418945,3.3423264026641846,2.3819050788879395
2015-02-06,4.206207752227783,3.3772642612457275,2.4258227348327637
2015-02-09,4.239178657531738,3.3190348148345947,2.4258227348327637
2015-02-10,4.286280632019043,3.307389497756958,2.4258227348327637
2015-02-11,4.286280632019043,3.3306806087493896,2.3974053859710693
2015-02-12,4.272149085998535,3.3190348148345947,2.3922386169433594
2015-02-13,4.328672409057617,3.3132123947143555,2.394821882247925
2015-02-16,4.333383083343506,3.42384672164917,2.394821882247925
2015-02-17,4.333383083343506,3.435492753982544,2.394821882247925
2015-02-18,4.342803478240967,3.435492753982544,2.404017925262451
2015-02-23,4.2533111572265625,3.4820756912231445,2.404017925262451
2015-02-24,4.262729167938232,3.5053677558898926,2.404017925262451
2015-02-25,4.248598098754883,3.435492753982544,2.404017925262451
2015-02-26,4.314540863037109,3.394732713699341,2.4145267009735107
2015-02-27,4.333383083343506,3.4646072387695312,2.406644821166992
2015-03-02,4.333383083343506,3.4646072387695312,2.430290937423706
2015-03-03,4.404036045074463,3.458784580230713,2.443427801132202
2015-03-04,4.371065139770508,3.4529616832733154,2.4723284244537354
2015-03-05,4.338091850280762,3.3306806087493896,2.4460549354553223
2015-03-06,4.338091850280762,3.388911008834839,2.4513092041015625
2015-03-09,4.333383083343506,3.3772642612457275,2.4145267009735107
2015-03-10,4.347512245178223,3.4646072387695312,2.4145267009735107
2015-03-11,4.281570911407471,3.3772642612457275,2.390881061553955
2015-03-12,4.29570198059082,3.4063782691955566,2.417153835296631
