date,5227.KL,5176.KL,5235SS.KL
2015-01-02,0.7877842783927917,0.9104644656181335,3.7197892665863037
2015-01-05,0.7816296219825745,0.8986403942108154,3.714177370071411
2015-01-06,0.7754750847816467,0.9104644656181335,3.7310094833374023
2015-01-07,0.7816296219825745,0.8868162035942078,3.7646732330322266
2015-01-08,0.7754750847816467,0.8986403942108154,3.7534525394439697
2015-01-09,0.7877842783927917,0.8986403942108154,3.7534525394439697
2015-01-12,0.7877842783927917,0.8927279710769653,3.7534525394439697
2015-01-13,0.7877842783927917,0.8868162035942078,3.7534525394439697
2015-01-14,0.7877842783927917,0.8927279710769653,3.7590620517730713
2015-01-15,0.7816296219825745,0.8986403942108154,3.8151681423187256
2015-01-16,0.7816296219825745,0.8986403942108154,3.7927260398864746
2015-01-19,0.7877842783927917,0.9045525789260864,3.8151681423187256
2015-01-20,0.7816296219825745,0.8986403942108154,3.8151681423187256
2015-01-21,0.7877842783927917,0.9045525789260864,3.7927260398864746
2015-01-22,0.8000933527946472,0.9045525789260864,3.8151681423187256
2015-01-23,0.8062478303909302,0.9045525789260864,3.8151681423187256
2015-01-26,0.8124024868011475,0.9045525789260864,3.8151681423187256
2015-01-27,0.8062478303909302,0.9341127872467041,3.910547971725464
2015-01-28,0.81855708360672,0.9341127872467041,3.8712728023529053
2015-01-29,0.81855708360672,0.9222885966300964,3.8712728023529053
2015-01-30,0.81855708360672,0.9163767695426941,3.8712728023529053
2015-02-04,0.8308662176132202,0.9459371566772461,3.955432176589966
2015-02-05,0.8370208740234375,0.9222885966300964,3.8824949264526367
2015-02-06,0.8370208740234375,0.9282011389732361,3.888105869293213
2015-02-09,0.8308662176132202,0.9163767695426941,3.9207777976989746
2015-02-10,0.8190425634384155,0.9282011389732361,3.9491889476776123
2015-02-11,0.825200617313385,0.9222885966300964,3.9548721313476562
2015-02-12,0.8190425634384155,0.9185553193092346,3.9207777976989746
2015-02-13,0.8128843307495117,0.9185553193092346,3.903730630874634
2015-02-16,0.8128843307495117,0.9244813919067383,3.988964319229126
2015-02-17,0.8190425634384155,0.942259669303894,4.006012916564941
2015-02-18,0.825200617313385,0.9481861591339111,4.011694431304932
2015-02-23,0.8313589096069336,0.942259669303894,3.9548721313476562
2015-02-24,0.8375172019004822,0.9837430715560913,3.977600336074829
2015-02-25,0.825200617313385,0.9778172373771667,3.892367124557495
2015-02-26,0.825200617313385,0.9778172373771667,3.892367124557495
2015-02-27,0.8313589096069336,0.9659647941589355,3.9378256797790527
2015-03-02,0.825200617313385,0.9778172373771667,3.892367124557495
2015-03-03,0.8375172019004822,0.9837430715560913,3.926459312438965
